phi,theta,phi_dot,theta_dot
-0.01756438336136925,0.06574184788703821,-0.11245699543518378,0.09798381263199687
0.06310000289738826,0.03851859527055604,0.032738498703307306,-0.06250514623992662
0.03247915185359672,0.061529851818986486,-0.04455456454168159,-0.08522523069810645
0.013812187787585126,0.05527582905987083,0.002056965879528666,-0.0025313375333848726
-0.048157390338058895,0.013705997033551923,0.09781595374226232,0.11655610898654417
-0.04816076715293163,0.059062392903236366,-0.06016986500427001,-0.0619067348372399
-0.06186829429645208,-0.057611049712731274,-0.02150809847144887,0.04131253137741084
0.051264660408490925,-0.042562399261319675,0.06133227325033169,0.06278870767889222
0.014156101644049235,-0.06366817955252468,-0.0650884402820106,-0.06296698944182408
0.029130160891446377,-0.024453753693142996,-0.10152482164108968,0.0547719236668463
-0.06711817079858766,-0.01558517944347252,-0.05045965130069567,-0.03173204814737922
0.06578737930267922,-0.03201113555165457,-0.08130689105903893,0.03175339934245908
0.04654196971205905,0.046023251281270106,0.10312743656221754,0.03204713058261474
-0.040272524505041346,-0.0200545342628975,0.07394889109546007,0.008585924177942045
-0.044544504591005916,-0.030669168643766696,0.03201690156250164,-0.098330455186942
-0.04432336862051927,0.005977451642154782,0.08915054164505223,0.08047259894141712
-0.02740608598566472,-0.05027060850353324,0.07288129845578747,-0.0430127844067834
0.003465900428513302,0.04230757730556556,-0.0752231858673514,-0.07523555750403499
-0.009527697390103791,-0.059562909884832094,0.09421415963759466,-0.11021396602685665
-0.029227920372274133,0.06816417112407241,0.009442138059756161,0.021814306365178032
0.01565940526113313,0.03811426770153205,0.07378563723937501,0.04261544684214777
-0.05047085950871415,-0.04217980458521586,0.09506191198163838,-0.11601892105731453
-0.029099749205069463,-0.06922690360269568,-0.04367916600675267,0.0029023339918274327
-0.018709341938883163,0.04416459998367679,-0.09358753811335757,-0.06564101395249489
-0.006150202209614972,0.028960028138666397,-0.065295560989934,0.03484146969826796
0.03992463459502191,0.03206100352573822,-0.01749413072969848,-0.07815205703880204
-0.042045670497829646,0.03797784853603241,0.07632354382139833,0.04582505714459181
0.001992821377905629,-0.05963374875722736,0.08657533998152242,-0.027183516887871018
0.012938039640685947,-0.019814798003801835,-0.11833148867251422,0.10481519729681629
-0.06349694221920033,-0.05377833166648184,0.0025793526186157767,-0.08699497340496162
0.015056279266201372,0.0508344796225831,-0.01982135924429304,-0.03814407574793796
-0.04612662268377919,0.01726173775585811,-0.06669412548702475,-0.09276635490225862
-0.06089277698206087,-0.023674276520629117,-0.09123231183991612,0.10192646838685507
0.06284397521546667,-0.06110183095995669,-0.03897235886312929,0.09056144481143544
0.0651884846304383,-0.026462474959807296,0.1062983289390046,-0.05809400934836265
0.04317562873630457,-0.02447433491625542,-0.04243129631501874,0.038396171048202976
-0.027354072315728103,0.032144864967328976,0.004509749218407869,0.07613332804829179
-0.05632590403910626,0.01925804598972984,0.04872455013484267,0.013248194783870959
0.025792623711701962,0.05420978396068572,-0.03272889542896944,0.007116138805441569
-0.008378650876455819,-0.003889910477327105,0.11322769985303055,-0.06195545018389159
-0.05291464712173097,-0.053256805568637766,0.11098735078610669,-0.09765533572658419
-0.0006752325844221752,0.029854270211219308,-0.0595722490019126,0.09533178190879843
-0.06518560704386943,0.03650990680636565,-0.0006603585858274974,0.0961003337191993
0.05730485629102949,0.008578807659729473,-0.04778920564397528,0.0319443497455843
-0.033770802575997634,0.03793540519363854,-0.051638281349407775,-0.03863285014831183
0.02275311980955748,-0.000868616508985301,-0.11114713263491213,-0.03618970209296138
-0.026360449347482467,0.0031825961134791664,0.026295440155175237,0.05422936292885744
0.002809522964893507,-0.010144257429803051,0.0006429655749267543,0.09530646238861851
0.006539439108059153,-0.06644132225582668,-0.10764509970000255,0.09290074182362815
-0.044120376226426214,-0.054895200220937385,-0.05312484858321326,0.06717013100582972
